track,album,artist,genre,popularity,explicit,release_date,duration_ms,track_score,duration_min,release_year
Heavy Is the Crown,From Zero,Linkin Park,nu metal,82,False,2024-11-15,167012,41.0,2.783533333333333,2024
Who,MUSE (WANDER ver.),Jimin,k-pop,85,False,2024-07-23,170887,42.5,2.848116666666667,2024
2:12 AM,Cosa Nuestra,Rauw Alejandro,reggaeton,79,True,2024-11-15,211918,39.5,3.5319666666666665,2024
CRAZY,CRAZY (Party Remixes 1),LE SSERAFIM,k-pop,80,False,2024-09-02,164554,40.0,2.742566666666667,2024
La Diabla,NEXT,Xavi,corridos tumbados,77,False,2024-10-11,172264,38.5,2.8710666666666667,2024
SORRY 4 THAT MUCH,SORRY 4 THAT MUCH,Feid,reggaeton,82,True,2024-06-07,207746,41.0,3.4624333333333333,2024
ADIVINO,LA PANTERA NEGRA,Myke Towers,reggaeton,81,True,2024-08-22,278644,40.5,4.644066666666666,2024
Who,MUSE (WONDER ver.),Jimin,k-pop,85,False,2024-07-23,170887,42.5,2.848116666666667,2024
Who,Who (Remixes),Jimin,k-pop,85,False,2024-07-23,170887,42.5,2.848116666666667,2024
Espresso Martini,Cosa Nuestra,Rauw Alejandro,reggaeton,78,True,2024-11-15,191219,39.0,3.1869833333333335,2024
CORA DE HIELO,CORA DE HIELO,RØZ,electro corridos,81,False,2024-05-31,164769,40.5,2.74615,2024
No Ponga Excusas,No Ponga Excusas,Cris Mj,reggaeton chileno,80,False,2024-06-20,164956,40.0,2.7492666666666667,2024
Hasta Aquí Llegué,Duelo,Nanpa Básico,mexican hip hop,84,False,2024-11-07,188887,42.0,3.1481166666666667,2024
FUNK DO BOUNCE (Slowed),FUNK DO BOUNCE (Slowed),Ariis,phonk,84,False,2024-08-30,107539,42.0,1.7923166666666666,2024
OHNANA,OHNANA,Kapo,latin afrobeats,83,False,2024-06-06,156577,41.5,2.6096166666666667,2024
POR QUÉ SERÁ,JUGANDO A QUE NO PASA NADA,Grupo Frontera,cumbia norteña,79,False,2024-05-10,209492,39.5,3.4915333333333334,2024
It Feels So Good,It Feels So Good,Matt Sassari,tech house,83,False,2024-11-01,160973,41.5,2.6828833333333333,2024
Volver Al Futuro,Volver Al Futuro,Oscar Maydon,corridos tumbados,79,False,2024-05-30,204102,39.5,3.4017,2024
Winter Ahead (with PARK HYO SHIN),Winter Ahead (with PARK HYO SHIN),V,k-pop,84,False,2024-11-29,234895,42.0,3.9149166666666666,2024
How Sweet,How Sweet,NewJeans,k-pop,79,False,2024-05-24,219026,39.5,3.6504333333333334,2024
On D Gas,Pa Que Se Motiven,LEGADO 7,corrido,77,True,2024-08-23,201322,38.5,3.355366666666667,2024
Amapola,Amapola,Natanael Cano,corridos tumbados,81,False,2024-12-05,180693,40.5,3.01155,2024
DEPORTIVO,DEPORTIVO,Blessd,reggaeton,82,True,2024-11-14,218701,41.0,3.645016666666667,2024
Dirty Cash (Money Talks),Dirty Cash (Money Talks),PAWSA,tech house,84,False,2024-11-15,221448,42.0,3.6908,2024
Igloo,Lose Yourself,KISS OF LIFE,k-pop,81,False,2024-10-15,131786,40.5,2.1964333333333332,2024
LINDA,LINDA,Tito Double P,corrido,78,True,2024-05-23,224210,39.0,3.7368333333333332,2024
SE ME OLVIDA,SE ME OLVIDA,Maisak,reggaeton,82,True,2024-08-23,225373,41.0,3.7562166666666665,2024
Brickell,MANIFESTING 20-05,Feid,reggaeton,78,True,2024-04-10,180360,39.0,3.006,2024
frente al mar,frente al mar,Beéle,latin afrobeats,82,False,2024-09-26,165178,41.0,2.7529666666666666,2024
Giza,Giza,Natanael Cano,corridos tumbados,80,False,2024-07-10,177580,40.0,2.9596666666666667,2024
Despídase bien,"Boca Chueca, Vol. 1",Carín León,banda,80,True,2024-05-30,231375,40.0,3.85625,2024
GLORY,GLORY,Ogryzek,phonk,83,False,2024-05-24,149522,41.5,2.4920333333333335,2024
BLANCA ROSITA Y MARIA,INCÓMODO,Tito Double P,corrido,79,True,2024-08-22,200658,39.5,3.3443,2024
Ma Meilleure Ennemie (from the series Arcane League of Legends),Ma Meilleure Ennemie (from the series Arcane League of Legends),Stromae,french pop,81,False,2024-11-23,147973,40.5,2.4662166666666665,2024
PRIMO,INCÓMODO,Tito Double P,corrido,78,True,2024-08-22,164991,39.0,2.74985,2024
SLAY!,SLAY!,Eternxlkz,phonk,82,True,2024-03-15,107076,41.0,1.7846,2024
The Emptiness Machine,The Emptiness Machine,Linkin Park,nu metal,83,True,2024-09-05,190427,41.5,3.173783333333333,2024
ULTIMAMENTE,ONDEADO$,Calle 24,corrido,78,True,2024-12-12,208800,39.0,3.48,2024
Mírame,Mírame,Blessd,reggaeton,82,True,2024-04-17,157453,41.0,2.624216666666667,2024
SPOOKY,SPOOKY,fennecxx,phonk,81,True,2024-10-24,96923,40.5,1.6153833333333334,2024
